9:38 PM - 10 Dec 2015|Counterprogramming tagline idea Based story I completely made|2|6
2:44 PM - 7 Dec 2015|Woo hoo @AGraynor putting red dress play upcoming #DisasterArtist I could thrilled casting|7|27
7:10 AM - 4 Dec 2015|Guns killed Americans 12 years AIDS terrorism war illegal drug overdoses combined http www vox com 2015 10 3 9446193 gun-deaths-aids-war-terrorism|798|448
7:03 AM - 14 Nov 2015|Being loss words I feel anti-ISIS anti-Assad Syrian blogger Nader Atassi right pic twitter com 2YJZgBXeg1|9.6K|7.3K
