9:53 PM - 8 Dec 2015|Sometimes hafta sit back take minute enjoy moment|7|9
6:40 PM - 1 Dec 2015|If you're reading Congrats You're alive If that's something smile don't know pic twitter com Qd9UHlTAe2|15|31
3:10 PM - 1 Dec 2015|With 217MM 7 yr deal David Price making 31 000 000 year 2 583 333 month 84 931 day 3 538 hour 59 minute 98 second|718|495
7:51 PM - 26 Nov 2015|If Rodgers hurt keep playing pic twitter com ZeEqM5Bj1R|1.1K|1.8K
7:03 AM - 17 Nov 2015|BASEBALL|1|7
