8:37 AM - 9 Dec 2015|Forget 2M easily interesting part whole deal Wu-Tang Martin Shkreli pic twitter com 5nSshXhjnJ|9K|7.4K
3:14 PM - 8 Dec 2015|Two things 1 I proud marrying Muslim family kindest hardest working people I've ever met 2 Fuck Donald Trump|33|173
12:45 PM - 8 Dec 2015|We can't stop smiling thanks love @TheEllenShow https twitter com TheEllenShow status 674313855711887361|33|66
8:29 PM - 7 Dec 2015|A brave corrective way culture celebrates self-immolation tortured rock stars like Weiland http www rollingstone com music news scott-weiland-s-family-dont-glorify-this-tragedy-20151207 page 2|158|127
5:03 AM - 7 Dec 2015|Thank everyone @JSConf US closed time|9|35
12:52 PM - 5 Dec 2015|Why semantic URLs matter pic twitter com gzljSKBDxu|922|612
9:06 PM - 2 Dec 2015|Joe Montana may 4 Super Bowl rings I better seats Hamilton pic twitter com H02jayfOSG|3|12
8:35 AM - 30 Nov 2015|Big data-lifestyle daddy new leather daddy #trendforecast #speculativekink|1|1
9:58 AM - 28 Nov 2015|Dancing rooftops Jersey City http www buzzfeed com rachelzarrell some-pro-life-supporters-cheered-planned-parenthood-shooting# yiYqkN5wX8|14|17
7:37 AM - 26 Nov 2015|This infinity useful 'how argue vaccines' 'how millenial' stories http www theverge com 2015 11 25 9794644 smart-home-system-fix-wifi-printer-router-troubleshooting|1|2
5:51 AM - 25 Nov 2015|Due drunken argument republican brother-in-law 6 train F train service limited Thurs Nov 26|29|26
6:13 AM - 25 Nov 2015|I don't want president gets elected fear others whether others Mexicans special interests|2|4
12:17 PM - 23 Nov 2015|There way gifted kids disadvantaged backgrounds usually find http www vox com 2015 11 23 9784250 card-giuliano-gifted-talented|40|48
4:41 AM - 23 Nov 2015|I made new website hand painted oil paintings emojis http emojipaintings website Launching today pic twitter com 4Fa051aH6x|21|20
1:35 PM - 22 Nov 2015|Asked tweet details anti-terrorism raids Belgians tweet things like instead #BrusselsLockdown pic twitter com wY1ft3KLUj|3.3K|3.1K
3:34 PM - 17 Nov 2015|apparently colleague @unclehighbrow made pacman-like game Watergate go play https play google com store apps details id com redheadedleague watergate|4|1
4:22 PM - 16 Nov 2015|Love @MeetUp Good news Their community organized 200 events #OptOutside Black Friday Join one today http bit ly 1MyaMTK|35|60
1:22 PM - 16 Nov 2015|Fun fact I Google interview told I'm good JS developer So that's way right @mxcl|146|306
