5:21 PM - 9 Dec 2015|weather outside frightful fire - fire also frightful mean place go happening|3.2K|3.4K
4:10 PM - 23 Nov 2015|He played Bob Haldeman well enough https twitter com realjameswoods status 668931729885933568|10|35
5:23 PM - 18 Nov 2015|A kid referred today woke I guess means awake eyes open|17|36
3:05 PM - 18 Nov 2015|AT 9 PM ANY AND EVERY CALZONE IS ONLY 4 DELIVERY OR TAKE OUT FROM 9-10PM ONLY CALL INS OR WALK INS ONLY NO ONLINE ORDERS RETWEET|2|0
2:13 PM - 18 Nov 2015|RETWEET 4 CALZONES FOR TAKE OUT OR DELIVERY UNLIMITED CALL IN ONLY NO ONLINE DISCOUNT THE TIME WILL BE ANNOUNCED WITHIN THE HOUR|1|1
7:45 PM - 16 Nov 2015|Even Bush Administration made clear distinguish Muslims terrorists Why media downplaying http mm4a org 1N7a3i9|95|66
