4:58 PM - 8 Dec 2015|If afford take care veterans go war|4.2K|7.8K
4:50 PM - 8 Dec 2015|Gov competence Is Oxymoron Emphasis MORONLimp Dick Congress couldn't find Ass w Help NYPD WHATEVER U THINK THEYRE WORTHLESS|386|898
7:18 PM - 5 Dec 2015|I runner American idol I still student loans pay #DrPepperGiveaway|126|785
12:55 PM - 2 Dec 2015|Guns don't kill people But sure shit don't favors|3.8K|6.7K
10:00 AM - 3 Dec 2015|Editorial It time close potentially deadly gun-sale loophole http www newstimes com news article Editorial-It-s-time-to-close-a-potentially-6671069 php cmpid twitter-mobile via @NewsTimes|2|1
8:19 AM - 3 Dec 2015|Thankful governor delegation offering prayers It time Congress act http www huffingtonpost com entry politicians-gun-control-san-bernardino_565f7622e4b08e945fedffa0 utm_hp_ref politics|7|9
11:10 AM - 2 Dec 2015|'Tis season want Christmas front tooth pic twitter com iqDesWcfiy via @RectoryMaria|1|4
11:09 AM - 17 Nov 2015|The GOP's rhetoric immigration hateful harmful RT agree immigrants make country stronger pic twitter com J13Q9NCoG9|21|18
