11:36 AM - 7 Dec 2015|I shoudl expected put knee ground propose woman ground animals shit|1.3K|3.7K
7:46 PM - 22 Nov 2015|Wow @BuzzFeed's released another video #asexuality Watch I'm asexual But I'm https www youtube com watch v f9nMae34adI|36|44
11:28 PM - 6 Dec 2015|@EmmettShearer 4 slots open DM Me you're interested|1|0
8:47 AM - 6 Dec 2015|I Have About Thirty Different Shirts But I Only Ever Seem Like Wearing Three Them An Autobiography|602|1.5K
11:35 AM - 6 Dec 2015|We cannot sweep millions people many years throw country|941|2.1K
9:30 AM - 4 Dec 2015|14 things Nintendo President Tatsumi Kimishima told us http ti 1XFWjzM|32|44
7:47 AM - 4 Dec 2015|SCIENCE How bake perfect chocolate chip cookie http n pr WbkVSs @NPRFood #NationalCookieDay pic twitter com b1TdyKyCsl|5.2K|8K
