8:04 AM - 12 Dec 2015|Happy birthday Mr Sinatra #franksinatra pic twitter com Y6o4LZYun5|2.2K|6K
9:18 PM - 11 Dec 2015|Hey dudes kids early 90's We haircut right RIGHT pic twitter com eyaTMXxqsy|2|15
3:44 AM - 5 Dec 2015|As I watch 20's dwindle away fingers like running water I feel excited knowing new chapter magical #DirtyThirty|1|4
9:12 PM - 11 Dec 2015|It's look matters it's see - Henry David Thoreau #quote|1|1
2:49 PM - 10 Dec 2015|Eddie Redmayne transitioning woman #TheDanishGirl going full frontal VIDEO http wp p2WgDE-1jk2kJ pic twitter com jLwzxmavNp|38|80
7:47 AM - 8 Dec 2015|Have ever seen Larry Cable guy Guy Fieri together I'm starting think it's person playing pic twitter com mbJWBww7As|3|8
12:00 PM - 10 Dec 2015|Put solving caps starting next week could win @Mr_Food cookbook Toss-Up Join us 10am PT 12 14 - 12 18|5|23
8:05 PM - 9 Dec 2015|well i've got GOOD NEWS|816|4.9K
7:36 PM - 9 Dec 2015|#SAGAwards Snubs Surprises Matt Damon Mark Ruffalo Will Smith Photos https shar es 1GmkOC @TheWrap|4|6
8:00 PM - 9 Dec 2015|#ENews starts right Tonight we're breaking biggest SAG Awards snubs fiercest face-offs pic twitter com UYMtJlDk6J|22|95
7:39 PM - 9 Dec 2015|Check Broadway favorites received SAG nominations http bit ly 1QfNjND pic twitter com 4U0zf7KaCK|9|41
9:04 AM - 9 Dec 2015|SAG Nomination Scorecard Netflix Tops List The 2016 Screen Actors Guild Awards http goo gl fb DRqXBH|1|1
9:05 PM - 9 Dec 2015|#Arrow fans like pic twitter com FlYRHg1P9c|349|444
9:30 PM - 9 Dec 2015|#Arrow's still trending almost 4h pic twitter com GH1a6XYXCy|1|4
5:29 PM - 7 Dec 2015|Soulja boy disappointment like Brandi's wig #LHHH|210|150
9:02 PM - 8 Dec 2015|Just let Hester #ScreamQueensFinale #ScreamQueens https vine co v i7059H6D3Yh|805|1.6K
9:38 PM - 8 Dec 2015|Who #ScreamQueens season 2 @MsLeaMichele dishes what's next http eonli ne 1OPqRtc pic twitter com 8Krnum3E4W|788|1.7K
10:43 PM - 8 Dec 2015|#ScreamQueens @ScreamQueens pic twitter com A8Rgp2QfG4|7|8
8:26 PM - 8 Dec 2015|Fear afraid go Social media don't want east coast spoil Red Devil #ScreamQueensFinale|169|474
5:19 PM - 8 Dec 2015|To anyone watching #ScreamQueensFinale https vine co v i70uLpzqVr6|1.3K|1.6K
2:39 AM - 8 Dec 2015|Don't judge past I don't live anymore - Petteri Tarkkonen #quote|1|2
8:21 PM - 8 Dec 2015|PETE red devil red devil bursts kills ME UUUGGGHHHHH JUST TELL ME WHO IT IS #ScreamQueensFinale|2|6
