3:22 PM - 25 Nov 2015|John Mulaney talks TIME finding new material he's comeback kid http ti 1IbvZX9|127|604
5:35 PM - 3 Dec 2015|Blaine next door silently crying #TheWiz https twitter com vulture status 672585231560519681|2.2K|4.9K
6:18 PM - 1 Dec 2015|You don't #ScreamQueens pic twitter com NQAvMj5zIv|198|387
6:11 PM - 1 Dec 2015|When already know happened ask anyway wait lie pic twitter com I4E3NK9fYX|3.7K|10K
1:28 PM - 24 Nov 2015|I get feeling lookin eye know u wanna take bite pie http republicrec co BoysLikeYou @whoisfancy @Meghan_Trainor|13K|27K
11:59 PM - 26 Nov 2015|I'm rich enough spending much money black friday shopping that's gonna stop|17|63
12:51 PM - 21 Nov 2015|EDIT Darren Criss OUT Magazine 2015 Hot List http darrencrissnews com post 133676741881 pic twitter com fcQ1Kmeg5U|203|246
9:18 AM - 21 Nov 2015|Thanks Connecticut -D @thomasfalcone https instagram com p -WuAswxKPr|489|1.3K
