3:15 AM - 4 Dec 2015|Lagos Set To Host Biggest Gospel Concert The World http goo gl fb kn7WSU via @cpafrica|2|1
3:10 AM - 4 Dec 2015|We WANT change We road almost hit 300k pledges help us http www wastenotuk com pic twitter com QxdaZxJmKH|73|29
8:29 AM - 20 Nov 2015|The awesome #DuranDuran performing tonights @TheGNShow @PA @duranduran #grahamnorton pic twitter com yoDHCSn4S5|71|220
8:30 AM - 19 Nov 2015|Gender inequality isn't women's issue Feminism benefits men #HeForShe #InternationalMensDay pic twitter com CdXcMQHBrN|1.7K|1.5K
3:15 PM - 20 Nov 2015|My writers @kevinlemanII @pommyrantz love hate experience #DSW https amp twimg com v 5c9988d9-4d32-4146-84d1-f572bf584568|1.5K|4.3K
2:14 PM - 20 Nov 2015|Hear Word Riveting social commentary Nigerian female cast @akefestival pic twitter com QkLVOumT3X|16|4
2:55 PM - 20 Nov 2015|It orgasmic #PeterCapaldi describes Oscar winner's speech #TheGNShow|23|63
2:30 PM - 18 Nov 2015|Former Spanish PM Zapatero meets Deputy ED Puri becomes #HeForShe http ow ly UOTsC pic twitter com n8L8Mzl4CV|30|51
