7:07 PM - 9 Dec 2015|Respectfully politely course also @LetsSaveTheSoup @TheSoup tweet #SaveTheSoup|6|7
8:44 AM - 9 Dec 2015|Instead takes @realDonaldTrump please constantly share re-share gif pic twitter com LPxUDUXOLO|1.9K|1.1K
3:58 AM - 9 Dec 2015|The GOP plan victory isn't wall Mexicans ban Muslims It's barrier minorities #voterID pic twitter com zJvquOVgsw|152|131
9:24 PM - 29 Nov 2015|Pro-life terrorist murders 3 quoting baby parts lie told @tedcruz @carlyfiorina party responsibility says it's responsible|360|226
9:57 AM - 24 Nov 2015|#MissedOpportunity When Palin said vetting process #SyrianRefugees @sethmeyers shoulda said I think mean GOP nominees|66|88
3:53 PM - 20 Nov 2015|Maybe I spend long reading Hitler's speeches #Trump1936 http www businessinsider com donald-trumps-ex-wife-once-said-he-kept-a-book-of-hitlers-speeches-by-his-bed-2015-8 pic twitter com zhN3Tz7ntM|210|157
5:25 AM - 19 Nov 2015|We can't judge many based actions GOP response every mass shooting white guy #tbt pic twitter com GcpiXpqyO4|559|390
2:28 AM - 16 Nov 2015|Don't know sums situation Syrian refugees pic twitter com 6LL3Gk6HKn|1.4K|968
