9:03 PM - 10 Dec 2015|New blog An American Refrain http tinyurl com oht29tn|108|105
2:23 PM - 2 Dec 2015|Upset latest mass shooting Call Representative 2 Senators RIGHT NOW 202 224-3121 via Coalition End Gun Violence|142|210
11:27 AM - 1 Dec 2015|This important overlooked point student loans http bit ly 1OuvfOc|30|35
8:59 PM - 29 Nov 2015|Humble pie #Belichick humble pie|37|122
8:58 PM - 29 Nov 2015|@Broncos WOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO THANK YOU|27|46
3:09 PM - 20 Nov 2015|We must stop transphobic violence demilitarize police provide inclusive healthcare legal protections healthy jobs #TransDayOfRemembrance|490|547
12:01 AM - 19 Nov 2015|Suicide single biggest killer guys 45 We aren talking enough Let talk #BiggerIssues http thndr AM6i3U|3K|3.2K
7:02 PM - 16 Nov 2015|We inscribed plaque Statue Liberty gift people France pic twitter com TdqewZWdhS|20|29
4:54 PM - 15 Nov 2015|Looks like touchdown Smells like touchdown NOT touchdown http www sbnation com nfl 2015 11 15 9740760 odell-beckham-touchdown-catch-giants-patriots-referee-controversy pic twitter com gF11kitPXJ|114|86
4:04 AM - 14 Nov 2015|When Paris turned lights rest world turned http bit ly 20T1A6j #ParisAttacks pic twitter com q5MClcgNLW|15K|11K
