12:09 PM - 7 Dec 2015|Venice night ' pic twitter com sna6sZWhUC|1|1
9:53 AM - 7 Dec 2015|One day pic twitter com f1on1y9Jgs|5.7K|12K
3:25 PM - 5 Dec 2015|Puerto Rico nominated @10Best Reader's Choice Best Holiday Destination Vote http www 10best com awards travel best-holiday-destination puerto-rico pic twitter com e0nW8tLZCi|25|44
12:33 PM - 2 Dec 2015|When bae randomly decides get freaky pic twitter com tuA7KYXsZT|256|816
