7:30 AM - 9 Dec 2015|For real pic twitter com 5yadVl4uAX|1.3K|1.8K
3:21 PM - 3 Dec 2015|Your mum ever came room stare time trying find problem|480|283
12:46 AM - 8 Dec 2015|A Shipwreck With Treasure Worth Up 17 Billion Was Discovered Near Colombia http motherboard vice com read the-treasure-on-this-newly-discovered-shipwreck-may-be-worth-up-to-17-billion via @motherboard|185|306
