9:19 AM - 8 Dec 2015|The people Congress #worstresponders http cc com 1NE68aV pic twitter com Kj5YcXy66H|2.7K|3.1K
8:47 PM - 8 Dec 2015|@Mitch McConnell 9 11 reinstate 1st responder care #WorstResponders|1|0
8:34 PM - 7 Dec 2015|Do right thing #worstresponders @Paul Ryan @Mitch McConnell|1|0
5:47 AM - 8 Dec 2015|If Dick Cheney says ur ur mind re trump u may jst may jumped shark Or non existent wall Or whatver 1 jumps crazy|133|246
