12:44 PM - 11 Dec 2015|Disrespected bald eagle insulted Saudi prince Republican establishment two greater humiliations|8|24
7:40 AM - 1 Dec 2015|In world's richest nation must everything possible get people medicine need price afford #WorldAIDSDay|3.4K|5.8K
8:42 AM - 24 Nov 2015|Who write love http jezebel com who-you-write-for-is-who-you-love-1744381320 sidebar_promotions_icons testingon utm_expid 66866090-67 e9PWeE2DSnKObFD7vNEoqg 2 utm_referrer http 3A 2F 2Fjezebel com 2F 3Fsidebar_promotions_icons 3Dtestingon pic twitter com MzHXGLOcOj|15|26
6:30 PM - 23 Nov 2015|Please watch video @KillerMike introducing @BernieSanders real fire #FeelTheBern https www youtube com watch v tIdejmGCKEs|300|356
4:29 PM - 23 Nov 2015|The #ebook Bad Kid sale 1 99 place #thanksgiving Spread word #gobblegobble http goo gl Q8cliY|7|6
6:40 AM - 23 Nov 2015|Why companies embrace intelligent disobedience http buff ly 1XlgpK4 pic twitter com Bmsygkyf68|28|33
3:55 PM - 17 Nov 2015|It's shut https twitter com HuffingtonPost status 666765534269202433|29K|32K
6:12 PM - 21 Nov 2015|The @AdCouncil imagines hilariously terrible way could thank agencies http adweek 1MbHUmz pic twitter com YU36GiQjtn|4|21
6:32 PM - 21 Nov 2015|I find @Reuters far professional operation @AP|1.3K|3.4K
2:33 PM - 14 Nov 2015|Thank powerfully wise words https twitter com karunaparikh status 665431786932068353|17|46
