8:00 PM - 9 Dec 2015|My thoughts final week pic twitter com gMeNQdXOyM|6.8K|11K
9:30 AM - 11 Dec 2015|Human cage -Shark pic twitter com EAVQwgd8w6|2.1K|2.9K
8:37 AM - 10 Dec 2015|Happy Founder's Day December 10th 1899 still going strong today #DeltaSigStrong|8|10
11:46 AM - 9 Dec 2015|Hey ISIS Merry frickin' Christmas From Russia love Merica pic twitter com 0u4MNWfKKB|10K|16K
8:41 AM - 7 Dec 2015|hello it's I wondering I could get grade C|11K|13K
2:07 PM - 8 Dec 2015|hate everything @TWC @TWC_Help|3|6
2:05 PM - 8 Dec 2015|i'd choose dial internet every day rest life rather ever Time Warner Cable @TWC|4|8
12:11 PM - 6 Dec 2015|The Buckeyes Fighting Irish headed @BattleFrogUS #FiestaBowl @OhioStAthletics @NDFootball pic twitter com PYsPIHzbjM|2.1K|1.6K
9:33 PM - 5 Dec 2015|I hope MSU sends Michigans punter thank letter Playoff berth|3|4
8:18 AM - 5 Dec 2015|I don't know I love Thank sacrifice It gone unnoticed pic twitter com DytZuRie6i|260|529
5:17 PM - 3 Dec 2015|soon think maybe get early finish tomorrow ve already lost|422|761
9:26 PM - 2 Dec 2015|I hate Christmas music|1|7
10:25 PM - 2 Dec 2015|Do I live area I'm worried attacked No Am I still going buy gun Absolutely|1|8
10:05 AM - 1 Dec 2015|hey guys I come home play month|1|12
1:58 AM - 30 Nov 2015|The second I hear Mr Worldwide song gets changed|2|1
5:38 PM - 29 Nov 2015|Holiday breaks always make thankful I grew|2|11
9:35 PM - 28 Nov 2015|True life I'm awful bowler|1|2
8:06 PM - 28 Nov 2015|The refs overturning TD run end ended losing ND game That's tragic|1|1
3:03 PM - 28 Nov 2015|Leave man behind pic twitter com jMH6FbveIU|171|444
1:33 PM - 27 Nov 2015|Spencer Smolarz begins horse race betting career 1-0 retire wealthy man solid 5 40|1|9
3:08 PM - 26 Nov 2015|We're Mulcahy's We've got front row seats purgatory -Spank|1|7
11:20 AM - 26 Nov 2015|The adult table overrated I'll take talents back kid table|3|14
6:03 PM - 25 Nov 2015|Stupid decisions past doesn't define I today|4|7
4:18 PM - 25 Nov 2015|Black friday mean black Wednesday|2|3
6:20 AM - 25 Nov 2015|soooo excited tonight|1|3
2:31 PM - 23 Nov 2015|Everyone go vote roomie Bc obvi best libero #D3VB https twitter com herosportsnews status 668901970694922240|4|2
8:29 PM - 22 Nov 2015|Why create DINOSAURS don't better cell service #jurassicworld|2|5
2:24 PM - 22 Nov 2015|When go home break snapchat turns Nat Geo everyone's pets|4|5
7:39 PM - 21 Nov 2015|You think want something badly see way dog looks take last bite|1|4
4:01 PM - 21 Nov 2015|Somewhere Columbus @PerrinAlec curled corner likely crying|6|21
3:48 PM - 21 Nov 2015|Hide couches|357|322
11:49 AM - 21 Nov 2015|Shock Nation @ONUsports #PolarBearsMovingForward #UnderDogWho Congrats boys @TDonuRB @d__p3 @Jmag_4 @coachDeanPaul|4|14
8:53 PM - 17 Nov 2015|Calvin Hobbes inspired Rick Morty fan art pic twitter com 1b2Izkd18i|319|692
9:42 AM - 17 Nov 2015|The usual cliches disfranchisement leads terrorism Denied analysis profile terrorists https twitter com foreignpolicy status 666670439146504192|16|20
12:36 PM - 17 Nov 2015|Way go girls @ashley_borchers @megnieszala #pbearpride #proud https twitter com onusports status 666697057055449089|2|8
11:47 AM - 17 Nov 2015|I regret I one life give country pic twitter com t3jBleJUQa|130|315
3:14 PM - 15 Nov 2015|ONU dance Go BEARS @d3football @D3_Nation pic twitter com I0pcqv8esU|82|85
