10:30 AM - 11 Dec 2015|On set @broadcity season 3 @abbijacobson @ilazer Amy #yas pic twitter com KYOAWDSshK|1.7K|4.1K
7:51 AM - 10 Dec 2015|I keep skin looking young it's thanks turns camera smiling ancient curse locusts pour mouth eyes|480|1K
8:52 AM - 7 Dec 2015|Two friends got sick drinking white mocha It's matter time I live constant fear #plagueofthewhitemocha2k15|2|1
8:49 AM - 7 Dec 2015|i'll die week promise #plagueofthewhitemocha2k15|2|1
9:01 AM - 3 Dec 2015|Text enough 877-877 public tell congress directly want background checks ALL gun sales Do I|4.2K|6.7K
3:51 PM - 2 Dec 2015|'The Mindy Project' something revolutionary http theatln tc 1RnLWvo pic twitter com lQELNK2og1|359|1.1K
8:01 AM - 1 Dec 2015|It December nobody asked I ready pic twitter com LPFxWIt36A|168|320
6:00 PM - 21 Nov 2015|I've decided get back together @Tyga|892|2K
2:14 PM - 26 Nov 2015|listening family pic twitter com 2CysvQXy8T|131|477
6:30 PM - 22 Nov 2015|Jess always licks lips tells lie|4|11
10:14 AM - 25 Nov 2015|The first glimpse Grease Live electrifying http bzfd 1MRGVpu pic twitter com faZvLckxpr|1.1K|2.9K
9:01 PM - 24 Nov 2015|I feel closer JSTOR people honestly|3|10
12:05 PM - 20 Nov 2015|Sit plate full food Thanksgiving Fam So happened Mizzou Me pic twitter com 7vXQAQbI24|375|413
9:56 AM - 19 Nov 2015|Snack Nuts Ranked 1 Cashew 2 Pistachio 3 Almond 4 Peanut 5 Walnut Some nut farmers might hurt 2015 official rank|197|965
2:20 PM - 18 Nov 2015|@Lin_Manuel named one @people's Men Year can't say we're surprised http playbill com news article lin-manuel-miranda-named-one-of-people-magazines-heartthrobs-and-heroes-of-2015-372312 pic twitter com 1Zsd0Rx4Sv|149|456
7:32 AM - 15 Nov 2015|Good morning My suburban high school version RENT white people|120|542
10:12 PM - 14 Nov 2015|waitress I take bacon check waitress @jacobjargon aw that's sweet u keep us pic twitter com tcBuThscvL|1|15
