5:35 PM - 10 Dec 2015|lot black people hallmark christmas movies|1.7K|5.3K
5:51 AM - 11 Dec 2015|There two types people people pee shower liars|1|0
6:00 AM - 11 Dec 2015|If liberals want thing I made head imaginary things try https twitter com realjameswoods status 675072782208786433|98|267
5:04 PM - 8 Dec 2015|I feel people say I'm cool pretty funny sweet I really feel LMAO u sure I simple worm|1|2
