12:00 PM - 11 Dec 2015|@SarahKSilverman books actually teach intolerance hate Some people ignore parts|4|11
4:54 PM - 2 Dec 2015|Got 1 000 NRA 2014 election cycle address gun violence epidemic using thoughts prayers https twitter com SusanWBrooks status 672166202530242560|2K|1.5K
4:55 PM - 2 Dec 2015|Got 1 000 NRA 2014 election cycle help ameliorate gun violence using prayer https twitter com RepMikeBishop status 672167275538079744|2K|1.6K
4:56 PM - 2 Dec 2015|Got 2 000 NRA 2014 election cycle praying you'll prevent gun violence https twitter com RepHuizenga status 672167956546211846|2.2K|1.7K
4:57 PM - 2 Dec 2015|Got 1 000 NRA 2014 election cycle pray reducing gun violence https twitter com DesJarlaisTN04 status 672168605300207616|2.1K|1.6K
4:58 PM - 2 Dec 2015|Got 2 000 NRA 2014 election cycle help folks affected gun violence prayer https twitter com JudgeTedPoe status 672169512616218624|2.2K|1.6K
4:59 PM - 2 Dec 2015|Got 2 000 NRA 2014 election cycle address senseless violence using prayer https twitter com RepShimkus status 672169534393098240|2.3K|1.7K
5:02 PM - 2 Dec 2015|Johnson benefitted 1 3 MILLION gun rights groups http sunlightfoundation com blog 2012 08 06 Wisconsins_Ron_Johnson_Defends_Gun_Ownership https twitter com SenRonJohnson status 672171333514616832|5.5K|3.1K
5:04 PM - 2 Dec 2015|Got 7 450 NRA 2014 election cycle address gun violence praying peace https twitter com SteveScalise status 672199273577074688|4K|2.5K
5:05 PM - 2 Dec 2015|Got 2 000 NRA 2014 election cycle address senseless attack using prayer https twitter com RepTomRice status 672198611644600320|2.3K|1.6K
5:07 PM - 2 Dec 2015|Got 2 000 NRA 2014 cycle pray nothing else #SanBernadino future shooting victims https twitter com RepBlainePress status 672195421301841923|2.2K|1.7K
4:06 PM - 2 Dec 2015|Yet tout opposition expanding background checks senate website http 1 usa gov 1HGZsbv https twitter com SenatorFischer status 672183540776353792|1.7K|1.3K
4:23 PM - 2 Dec 2015|Earlier year Rep Buck offered amendment ALLOW FELONS petition right posses gun https twitter com RepKenBuck status 672179442563883014|2.9K|1.9K
6:07 PM - 1 Dec 2015|Here's doesn't Fox Commentators AM radio fans US Congress|199|535
6:05 PM - 1 Dec 2015|Here's believes man made Climate Change 97 scientists political leaders basically everyone world|364|782
5:34 PM - 29 Nov 2015|it's hard clean comedy it's hard funny it's easy clean funny|8|43
9:59 PM - 28 Nov 2015|Religious people forgive god anything - @jimjefferies #atheist #atheism #PlannedParenthood #PPShooting pic twitter com 1fkewR7RgX|469|605
7:53 AM - 24 Nov 2015|Here's juxtaposition consider via Facebook's Trending feature pic twitter com j418syNCfB|2.8K|2.1K
2:20 PM - 24 Nov 2015|In 2008 Colin Powell told story Muslim boy Jersey reacted 9 11 It still makes tear pic twitter com CrKyiCTVX7|448|484
3:20 PM - 17 Nov 2015|Struggling talk kids terrorism Start honest http nyti ms 1SWGXAW pic twitter com WwF4TPlFzT|441|694
