10:26 PM - 10 Dec 2015|LETS MAKE THIS HAPPEN pic twitter com wpJd5Ditym|44K|6.7K
3:06 PM - 10 Dec 2015|Golden Globe noms show Netflix Amazon taking http bit ly 1Rd0tee pic twitter com AfqKWjhrwq|105|116
6:31 AM - 10 Dec 2015|I can't say go fuck emphatically enough https twitter com RealJamesWoods status 674955819683827713|4|20
5:55 PM - 9 Dec 2015|In way Trump valuable I certainly believe valuable overall He damaging But showing us hard truth|1|2
5:53 PM - 9 Dec 2015|Seriously This illuminating instructive We truly experiencing learning moment https twitter com noahmccormack status 674767925111230464|1|1
9:18 AM - 9 Dec 2015|Here anti-Catholic cartoons appeared front page The Menace http www latimes com nation la-na-catholic-scare-20151209-story html pic twitter com lSi5COPqLo|53|36
2:32 PM - 8 Dec 2015|Today apparently feast immaculate conception Catholic Church celebrates version Something Nothing|164|380
