3:03 AM - 7 Dec 2015|ur broke af want christmas tree anyway pic twitter com anM5pg2Aov|5.4K|9K
2:23 PM - 5 Dec 2015|pours beer dishes|10|26
8:38 AM - 9 Dec 2015|Boys make excellent roommates don't bitch usually stupid entertaining things they're always drink beer|1|2
1:51 PM - 8 Dec 2015|It's like new album kinda it's 10 years old sound good new I hate band https twitter com brandnewrockfan status 674279892868071424|24|43
3:51 PM - 7 Dec 2015|squad dog bunch pillows|71|163
12:14 PM - 7 Dec 2015|No Spoilers Please don't tell Kim Kanye named baby yet I don't want know Ever Thanks|1.8K|3.9K
