1:00 PM - 9 Dec 2015|Yes @realdonaldtrump #WHISIS http cc com 1TB67EY pic twitter com 6X7piynlMw|3K|3.3K
11:50 AM - 8 Dec 2015|Take solace @realDonaldTrump 6-8 electorate overall Same think moon landings fake @NateSilver538 http fivethirtyeight com features dear-media-stop-freaking-out-about-donald-trumps-polls|221|371
11:30 AM - 6 Dec 2015|Iowa Residents Mystified After Strange Sign Bearing Word Kasich Appears On Roadside Overnight http onion com 1Qp1Zs9|231|370
