1:32 PM - 19 Nov 2015|IS HERE He trod sacred ground cried aloud crowd http www imablackstar com #Blackstar http fb 26PpOKN0A|880|1.1K
10:07 AM - 19 Nov 2015|Artist Walks On Snow In Siberia All Day To Create A Great Dragon Mural http bit ly 1O5YiYb pic twitter com uU3SEM1atn|53|37
1:00 PM - 18 Nov 2015|Holy shit Obama quote http www theguardian com us-news 2015 nov 17 republicans-congress-syrian-refugees-us-paris-attacks pic twitter com l1Yj3Kjn9e|14K|13K
6:31 PM - 18 Nov 2015|Just replied man explaining confirmation bias vine Guy Fieri tossing signed Lean Cuisines crowd #parable|1|9
1:00 PM - 18 Nov 2015|LESS THAN 24 HOURS TILL http www Imablackstar com #Blackstar #imablackstar http fb 7Z76B2B7g|184|293
7:00 AM - 18 Nov 2015|Trying avoid repeating bad things past good idea historians say http onion com 1MSwNQZ pic twitter com 2Xavf4hoLZ|1.9K|1.6K
12:22 PM - 17 Nov 2015|If it's anything like regular crying I would made awful town crier I'd repressed everything one awful breakup HEAR YE|17|74
12:00 PM - 17 Nov 2015|Remember iconic democratic president responsible Japanese internment camps Fear makes us crazy Don't crazy|14|8
11:15 AM - 17 Nov 2015|could us pursuing policy free trade combatants pic twitter com oea7DBQpjf|9|27
5:46 AM - 17 Nov 2015|HELL YEAH IM MADE OF ROCKS|13|60
5:45 AM - 17 Nov 2015|Someone make FF movie Thing enjoys please|20|65
12:03 PM - 16 Nov 2015|seasonally appropriate story middle eastern people seeking refuge turned away heartless|21K|19K
2:01 PM - 15 Nov 2015|I want displayed prominently funeral pic twitter com Gjb9Ze4yPd|395|688
2:55 PM - 15 Nov 2015|Atheists telling religion greatest evil making world simpler easier-to-understand place It's fairytale|16|24
