1:39 PM - 28 Nov 2015|There nothing US Constitution protects offended truth|21K|30K
12:01 PM - 25 Nov 2015|seriously dont person pic twitter com 6QxqCKUioL|682|912
4:07 AM - 24 Nov 2015|Every drawer junk drawer value nothing|54|127
4:35 AM - 24 Nov 2015|What perfect day worship|32|50
