4:01 AM - 8 Dec 2015|Over 1 100 000 people killed guns USA since @JohnLennon shot killed Dec 8 1980 #StopGunViolence pic twitter com BUbGXqHbGN|11K|6.7K
1:14 PM - 8 Dec 2015|Oncothyreon getting murdered 42 ONT-380 data ONTY http finance yahoo com news oncothyreon-announces-data-ont-380-210500548 html|6|3
2:17 PM - 7 Dec 2015|World please know Donald Trump doesn't speak America Nobody takes seriously|2|2
2:03 PM - 7 Dec 2015|Trump wants bar Muslims states mount 12th-century style crusade prevent people saying world round|4|13
5:55 PM - 5 Dec 2015|Have daughter interested STEM Here's encourage http nbcnews 1OGuvpm #NBCFreshmanYear pic twitter com npwbOlyi3U|112|96
6:46 PM - 4 Dec 2015|Urging tighter gun control New York Times publishes editorial page 1 1st time since 1920 - @nytimes http nyti ms 1LTSsmx|551|460
4:49 PM - 3 Dec 2015|When reach 100K followers im gonna rent stadium n host GIANT game Dodge Ball Free beer 1st half U guys buy 2nd half|34|190
4:37 PM - 3 Dec 2015|Gene editing OK future generations http www nbcnews com health health-news gene-editing-group-says-ok-do-it-be-careful-n473876|2|0
5:49 AM - 25 Nov 2015|else agrees shouldnt show happened case took year charges #LaquanMcDonald https twitter com ccatalana status 669508559198101504|5|23
8:59 AM - 23 Nov 2015|Trump calls supporters fans Think mite b confused reality show he's actually rite #Election2016|28|81
6:01 PM - 20 Nov 2015|We morally scarring future physicians http buff ly 1GPxrhv|23|20
4:24 PM - 19 Nov 2015|French PM warns biological chemical attack @clarissaward reports pic twitter com 44uRQbsSd7|21|15
4:53 PM - 19 Nov 2015|TEDMED 2015 A brief history CRISPR what's next - FierceBiotech http www fiercebiotech com story tedmed-2015-brief-history-crispr-and-whats-next 2015-11-19 utm_campaign AddThis utm_medium AddThis utm_source twitter# Vk5ux5eIibM twitter|9|7
