6:34 PM - 10 Dec 2015|Realizing new Point Break ripoff The Fast Furious made realize The Fast Furious ripoff Point Break|28|92
7:28 AM - 10 Dec 2015|A Timehop 6 years ago came I wearing shirt bye|35|261
3:18 AM - 3 Dec 2015|Honey mommy isn't coming home hospital Ever But good news senator tweeted prayed died|2.1K|4.8K
9:41 AM - 1 Dec 2015|#NavyFootball QB Keenan Reynolds running away fan vote @Nissan @espn took ballot http promo espn go com espn contests nissan heisman 2015 #|2.1K|785
11:51 AM - 1 Dec 2015|@Nissan asking fans vote @HeismanTrophy winner took leading vote getter http promo espn go com espn contests nissan heisman 2015 #|223|101
8:49 AM - 1 Dec 2015|Hey @espn @NissanUSA #HeismanHouse - Why leader online voting longer option What shame @NavyFB @NavyAthletics|148|139
7:13 AM - 30 Nov 2015|Get bird's-eye view w #TheExpanse #CyberMonday prize RT chance win Drone TODAY ONLY #CMSweepstakes pic twitter com JJ8HJbABW8|977|328
6:57 PM - 15 Nov 2015|What great ending great game Solid team win road #Patriots #Goskowski polish power|2.4K|7.2K
11:47 AM - 15 Nov 2015|RIP Don Vito You missed pic twitter com YwhNdAAPA8|13K|14K
