9:30 PM - 7 Dec 2015|Sending prayers friend @boosieofficial https www instagram com p _BOf9oru6X|41|75
9:37 AM - 27 Nov 2015|Thanksgiving nutshell @buddholly @amakichler pic twitter com P27CgrCpYq|1|2
10:38 AM - 17 Nov 2015|They've got guns flowers Watch father's heartwarming talk young son #ParisAttacks https amp twimg com v d2190d0d-1860-47ae-8008-6fe03f78670b|4K|4.3K
10:14 AM - 14 Nov 2015|Hey They work My feet soaked cuffs bone dry Everything's coming Milhouse pic twitter com OGKam4op5Z|3K|3.7K
