8:56 AM - 10 Dec 2015|How semester going pic twitter com aGEY726QgT|2.9K|4.3K
10:53 PM - 9 Dec 2015|Alpacas highlight night|1|3
4:55 PM - 5 Dec 2015|Good luck tonight boys #GoBraves|1|8
8:14 AM - 1 Dec 2015|When you're already Christmas spirit remember you've got finals coming pic twitter com UNa3nZ55Hr|12K|11K
12:36 PM - 26 Nov 2015|Gotta say #thankful I two best roommates anyone could ask Also happy momversary day late @Sara_Regnier @brisarah_|2|2
2:11 PM - 23 Nov 2015|Love calves|2|5
5:50 PM - 19 Nov 2015|@Sara_Regnier @dhyanase @ life Can u|2|2
