1:27 AM - 11 Dec 2015|I believe magic I also believe strapless bras stay put I guess I'm dreamer|86|517
9:06 AM - 8 Dec 2015|@Siobhanathan Siobhan sounds like need McD MVP Someone step plate|1|1
11:06 AM - 4 Dec 2015|#RvB premieres @ElReyNetwork THIS WEEKEND RT chance win #RvB #ElReyNetwork prize pack pic twitter com BoyRNq6NkY|619|389
7:22 PM - 29 Nov 2015|Getting ready Cyber Monday A S L|277|1.1K
9:15 AM - 25 Nov 2015|Parents Officially Designate Upstairs Television For Anyone Who Doesn Want To Watch Thanksgiving Football http onion com 1TezvB8|292|516
2:00 PM - 21 Nov 2015|Here's 10 years great games great fans Happy anniversary #Xbox360 http bit ly 1QW9HL3 pic twitter com U10uo7NgZb|2.4K|4.4K
7:15 AM - 18 Nov 2015|imagine falling love someone discover later say things like 'ATM machine' 'PIN number '|1.9K|3.6K
