6:10 PM - 6 Dec 2015|Retweet heart breaking #OnceUponATime https vine co v i71D53l7tL7|5K|5K
1:15 PM - 2 Dec 2015|rt miss someone|1.4K|811
7:54 PM - 3 Dec 2015|Yes yes yes pic twitter com Kds8NHE3m1|377|779
