7:44 PM - 3 Dec 2015|Hope ur enjoying The Wiz Live Michael Jackson dead it's probably faults #BillyOnTheStreet|130|615
5:10 AM - 28 Nov 2015|Robert L Dear #PlannedParenthood shooter latest domestic terrorist pic twitter com pHRmC24BVe|3.7K|2K
5:55 PM - 27 Nov 2015|Planned Parenthood open doors across country tomorrow bc provide healthcare women Terrorists win #StandWithPP|3.5K|5.4K
6:43 PM - 27 Nov 2015|Dear @GOP @FoxNews If red cup means war Christmas What actual murder mean war women #PlannedParenthood|5.4K|7K
11:31 PM - 24 Nov 2015|Oh Captian America iron Man mad fairyville|271|860
