5:26 PM - 9 Dec 2015|This Saturday night Chance The Rapper first independent artist ever perform SNL pic twitter com qKjfiak5EF|6.7K|10K
6:14 PM - 2 Dec 2015|2nd amendment written bigots racist slave owners The world technology changed Please change amendments|34|72
7:16 PM - 16 Nov 2015|If you're reading book forest one around see like even worth|23|75
8:00 PM - 16 Nov 2015|KickFlip Back Tails With The SQUAD #AMFD #skateboarding pic twitter com V5H0rKmAb6|45|71
