8:35 AM - 10 Dec 2015|10 world's mind-blowing landscapes http lptravel ReHDRh #travel #lp pic twitter com FR5wetkbrY|181|241
8:43 AM - 10 Dec 2015|Every Lakers game play like last night - Kobe starts Kobe gets big ovation Kobe plays like 25 mins Kobe sits crunch time|458|758
9:18 PM - 9 Dec 2015|World's first test tube puppies born adorable scientific breakthrough ever http cnn 1M4iSlK pic twitter com LlmsEzdDMH|1.1K|1.5K
5:36 AM - 7 Dec 2015|Lmao @Drake getting Grammy nomination dissing @MeekMill beef Meek started #GRAMMYs pic twitter com QYGtOACLFw|442|389
4:52 PM - 29 Nov 2015|Scott's reflections Kobe Everything I go back young guy shooting dark Forum hours practice|533|763
4:38 PM - 29 Nov 2015|Fans attending tonight game given letter Kobe This different TPT letter|62|74
3:50 PM - 29 Nov 2015|Dear Basketball http playerstribu ne dearbball #KB20|130K|120K
