4:12 PM - 9 Dec 2015|Ran handsome cousin lobby Wynn pic twitter com W734nqakHl|1.6K|8.3K
3:07 PM - 9 Dec 2015|Perhaps @realDonaldTrump could give @Ayaan award since pretty much agree Muslims http www loonwatch com 2014 04 when-neo-cons-and-liberals-unite-the-case-of-anti-muslim-crusader-ayaan-hirsi-ali https twitter com rns status 674723541208682498|44|53
10:43 AM - 7 Dec 2015|Please Rewind Modern Movies Get Mock VHS Cover Treatment http goo gl UuEEcK pic twitter com DGp8GvLz5m|176|319
9:07 AM - 23 Nov 2015|could nine inch nail time @ericandre @nathanfielder pic twitter com 6e9Abh41iI|433|1.6K
6:17 PM - 3 Dec 2015|Common dressed like got Erykah Badu back|193|95
6:57 AM - 3 Dec 2015|REMEMBER W KOREA PHOTOSHOOT WHERE SEOKJIN SLAYED OUR HEARTS #HAPPYJINDAY pic twitter com UC1RPJGkTx|107|53
10:17 PM - 2 Dec 2015|@theikhan I'm game leggo|1|1
1:31 PM - 30 Nov 2015|Steven Universe queerest thing TV I m obsessed http sumo ly bPoL @VenusSelenite|8|8
4:19 PM - 29 Nov 2015|I learned anatomy there's good evolutionary reason menstruation I blame white male patriarchy|3|7
2:14 PM - 27 Nov 2015|NEW MUSIC Kendrick Lamar - Black Friday http www rapfav com kendrick-lamar-black-friday J Cole - Black Friday http www rapfav com j-cole-black-friday pic twitter com HIcFKqDyO7|3K|2.7K
8:06 AM - 20 Nov 2015|A total 170 people taken hostage Radisson Blu hotel #Mali's #Bamako earlier http bbc 1T3Z9bO pic twitter com VVX5thcA1H|950|305
9:03 PM - 19 Nov 2015|Somebody heard car crash laying bed like pic twitter com wLUTSSQrZn|19|19
8:48 AM - 17 Nov 2015|I don't give shit I don't give fuck - Min Yoongi|1.7K|1.1K
8:46 PM - 15 Nov 2015|The entire South puts Nativity play church Christmas Which Middle Eastern couple desperate shelter|7.8K|7.4K
10:31 AM - 16 Nov 2015|Donald Trump says he'd consider shutting mosques fight terrorism http m dailykos com story 2015 11 16 1450612 -Donald-Trump-says-he-d-consider-shutting-down-mosques-to-fight-terrorism|183|98
7:10 AM - 16 Nov 2015|Interviewer As Muslim condemn terrorist acts #Paris Me As journalist condemn Don Lemon's journalism|1.4K|1.7K
3:49 PM - 14 Nov 2015|Why French Flag Facebook Why wasn't ever Syrian Palestinian Somali etc flags incidents happen #Paris|561|402
