11:05 PM - 8 Dec 2015|Being #VSFashionShow cool ever gone drive finished food got home|3.1K|5.5K
8:04 PM - 6 Dec 2015|I think there's black hole bottom purse headphones disappear|1.3K|3.8K
5:50 PM - 8 Dec 2015|Why You Shouldn't Choose Your Child's Name Solely Pander Your Fans The Ben Julianna Zobrist Story|2|8
3:11 PM - 7 Dec 2015|Donald Trump basically YouTube comment section running president|34K|37K
3:59 AM - 8 Dec 2015|How horrible Voldemort nowhere near bad https twitter com BBCNewsbeat status 674170911344455680|220K|200K
8:25 PM - 7 Dec 2015|@briannaleyden see tacos pic twitter com Q9aduq5S5o|1|0
6:45 PM - 7 Dec 2015|Looking motivation pic twitter com kF0DJAjEfC|6|10
8:11 AM - 3 Dec 2015|morning mantra pic twitter com 2hDdLXmF9A|631|738
6:33 AM - 2 Dec 2015|Thanksgiving break biggest tease|2|11
9:29 PM - 1 Dec 2015|HUGE THANK YOU participated #givingtuesday today We raised nearly 2500 grateful everybody helped us today|3|5
8:44 PM - 1 Dec 2015|Just hour half left #GivingTuesday still chance help http donate kesem org red pic twitter com GsJVIzxvKO|1|2
3:41 PM - 25 Nov 2015|@briannaleyden I miss And CONGRATS ON MED SCHOOL #soproud|1|1
8:06 PM - 23 Nov 2015|Happy Kesemgiving coord board #MagicMonday pic twitter com wye36wnQRy|2|6
10:24 AM - 20 Nov 2015|How dare invite thing I wouldn't go|106|169
7:14 AM - 18 Nov 2015|Meet outreach coordinator Buttercup She loves traveling positivity Kesem #GivingTuesday #givekidskesem pic twitter com lAMhrGbYXq|2|5
2:14 PM - 17 Nov 2015|Meet development coordinator Bounce She loves Kesem bouncing around bagels #givingtuesday #givekidskesem pic twitter com BqTdRL6Gzk|5|5
7:59 PM - 14 Nov 2015|remember one 6th grade class president candidates promised soda fountains homework that's Donald Trump|3K|5.3K
9:47 PM - 15 Nov 2015|What life feels like rn pic twitter com 7JsKd9sh0n|1|3
10:25 PM - 15 Nov 2015|I'm going fight many people week lol|1|5
