4:08 PM - 4 Dec 2015|Retweeting make everything better|5.8K|2.4K
7:14 PM - 18 Nov 2015|@RamPunktious whoa thanks much cds shirts available thru http areeandthepureheart bandcamp com|1|1
4:13 PM - 15 Nov 2015|Our new band promo shot pic twitter com lqbhnoaEq2|12|98
