8:28 PM - 9 Dec 2015|best gift give pic twitter com gP0euELv9u|376|460
11:02 AM - 9 Dec 2015|Donald Trump anti-Muslim proposal extreme standards rest 2016 Republican field https amp twimg com v 203e1be8-703c-41e5-a43b-cac5a0cb9c47|1.2K|1.4K
12:09 PM - 3 Dec 2015|I'ma start homework pic twitter com IS6knQGj2q|1.8K|3.3K
7:24 PM - 30 Nov 2015|believe tomorrow Christmas 1st|4|13
6:35 AM - 30 Nov 2015|John Oliver risk letting refugees pic twitter com 0paNtniCHT|11K|10K
10:07 AM - 28 Nov 2015|I strongly support Planned Parenthood work it's I hope people realize bitter rhetoric unintended consequences|3.8K|7.5K
8:29 AM - 28 Nov 2015|Let's go #Clemson #ALLIN pic twitter com 96Q4l1yB4m|187|221
3:45 PM - 23 Nov 2015|@carol_train I 15 minute fangirl session @jusiak27 casual #obsessed #love #missyou #fangirls|2|9
