9:10 PM - 5 Dec 2015|Hey Ladies https vine co v eLVlbnArPmd|1.2K|1.6K
8:42 PM - 3 Dec 2015|Browns Lions fans need meet Toledo weekend sort intervention|40|31
8:40 PM - 3 Dec 2015|THAT'S take crown back Browns|58|97
