7:00 AM - 3 Dec 2015|No Way To Prevent This Says Only Nation Where This Regularly Happens http onion com 1MYqo5y pic twitter com zN0vDZdFf7|5.2K|4.3K
12:37 PM - 2 Dec 2015|Guns don't kill people Guns kill American people go American places American people many guns|3|4
11:03 AM - 29 Nov 2015|Day one already quoting @Beyonce #Hashtag @Jaime_Moyer @LeBlarf @MrHappyGivens @claytonfroning @TomChristensen @omeedboghraty|4|4
