3:00 PM - 5 Dec 2015|This greatness made This champions made @mike_daniels76 #Hawkeyes #B1GFCG http snpy tv 1Q3AeXn|851|1.2K
11:19 AM - 5 Dec 2015|In five years B1G Championship I've NEVER seen many fans representing one school Iowa taking Indy pic twitter com Vw4SU6vgwP|746|980
11:11 AM - 5 Dec 2015|I shot something I didn't agree probably single perfect reason gun control https twitter com EWErickson status 673203319528116224|4.8K|5.7K
10:17 AM - 5 Dec 2015|I led airplane Iowa Fight Song #GoHawks pic twitter com zB6kgjcXKO|239|876
8:44 AM - 5 Dec 2015|Damnit Hawks Win Brett Win Sash Norm Nile everyone made us damn proud call Hawkeyes|45|66
9:03 AM - 5 Dec 2015|This sign amazing pic twitter com IF5SdwxZjj|44|63
6:53 AM - 5 Dec 2015|I ll leave @CollegeGameDay @HawkeyeFootball #Hawkeyes #Until #B1GFCG pic twitter com nrZDrO7Wu8|226|369
8:22 PM - 4 Dec 2015|Sources Cadillac Ranch sold beer They placed largest beer liquor order Indiana week Hawk fans messing around|799|701
6:48 PM - 4 Dec 2015|sloth could chasing past 6 years would never even know|751|1.1K
4:37 PM - 4 Dec 2015|Drew Tate got mic Cadillac Ranch demanded Iowa fans take goal posts tomorrow Lucas Oil Iowa wins|49|61
11:10 AM - 4 Dec 2015|Ted Cruz's roommate college wins quote year pic twitter com YrvHWykN2P|14K|19K
10:13 AM - 4 Dec 2015|Someone stole popsicle it's like SNL skit already pic twitter com k6RhIKhXvq|471|439
12:21 PM - 3 Dec 2015|Just outside Indy pic twitter com vqDoq1xdxc|258|551
9:10 AM - 3 Dec 2015|NEW VIDEO College Football Eye Test Explained #Hawkeyes http www hawkcentral com videos sports college iowa football 2015 12 03 76720754 hootPostID c4c4d59a4094616b593505e9a3fc89bc pic twitter com WznXoERxLK|298|329
9:34 AM - 3 Dec 2015|Drew Tate among many former players Indianapolis weekend cheer #Hawkeyes pic twitter com shpCUdNlZo|61|121
12:55 PM - 2 Dec 2015|Iowa's Desmond King won Jack Tatum Award given nation's top defensive back Presented Touchdown Club Columbus|72|155
11:02 AM - 2 Dec 2015|Walter Camp Player YR finalists #Iowa Desmond King #Clemson D Watson C McCaffrey Stanford D Henry #Alabama B Mayfield #OU|70|65
