6:07 PM - 10 Dec 2015|Have maybe thought unplugging Republican Party plugging back|1.2K|2.3K
8:05 AM - 9 Dec 2015|Purse Anxiety I Thought There Was A Hair Tie In Here But As I Rummage Around My Nerveless Fingers Grab Only Air http the-toast net 2015 12 09 levels-of-purse-anxiety-it-is-possible-to-have|26|68
2:59 PM - 4 Dec 2015|Captain EO might make-believe hero still inspire us achieve impossible keep message hearts|125|229
5:59 PM - 2 Dec 2015|THERE ARE CAPTAIN COLD ACTION FIGURES IN THE WORLD OF THE FLASH WHERE HE IS A REAL VILLAIN|2|3
8:00 AM - 28 Nov 2015|REMINDER Words mean whatever pic twitter com T7oivd3phm|3.1K|7K
