6:45 PM - 27 Nov 2015|Today good day donate @PPact Planned Parenthood Join https secure ppaction org site Donation2 df_id 12913 12913 donation form1 s_src PPorgMobile_c3|26|22
7:27 PM - 26 Nov 2015|Me catches extremely judgmental Me raise way|1K|1.3K
11:45 AM - 20 Nov 2015|feels like we're going straight halloween 2 thxgiving 2 christmas calendar come thru w many consecutive bangers|76|255
8:35 PM - 24 Nov 2015|relative aren't 21 shouldn't drink that's bad mom don't worry kids pic twitter com PC1EEEky4H|3.2K|4.1K
7:54 AM - 19 Nov 2015|Black Palestinian solidarity Beyond conceptions 'natural allyship' via @truthout http www truth-out org opinion item 33718-black-and-palestinian-solidarity-beyond-conceptions-of-natural-allyship|34|36
7:23 AM - 25 Nov 2015|Israeli colonizers random folks seeking housing actively stealing Palestinians profiting subjugation|31|33
8:21 AM - 23 Nov 2015|I'm tired Native peoples used joke make point immigration debates Violent settler colonialism immigration|562|565
7:42 AM - 23 Nov 2015|I LOVE AGGRESSIVE VEGANS|21|38
10:14 PM - 22 Nov 2015|Rihanna announces release date new album ANTI http www factmag com 2015 11 23 rihanna-announces-release-date-for-new-album-anti pic twitter com sBvOjLiqJh|33|39
9:08 PM - 22 Nov 2015|mean justin bieber pic twitter com CcbU4LWLWY|279|427
6:37 PM - 19 Nov 2015|ppl get mad word moist word networking exists|41|169
5:09 PM - 20 Nov 2015|iTS NOT THAT DONT FUCK WiTH U iTS JUST THAT DONT KNOW U OR WANT TO KNOW U|1.4K|1.6K
3:39 PM - 19 Nov 2015|Be sure watch @MajorLazer's #LeanOn performance @LatinGRAMMYs @Univision tonight 8pmET 7C pic twitter com JCn2GY2Xa8|26|49
7:05 PM - 18 Nov 2015|knock knock who's creak creak creak creak creak creak I'm cheap bra every time move arms cheap ladyfox|92|418
9:46 AM - 18 Nov 2015|Rates sexually transmitted infections spiked dramatically per @CDCgov IMPORTANT Get tested use condom http ti 1kE5rDT|85|60
6:06 PM - 17 Nov 2015|fetty wap pic twitter com XNCDRR9gCl|187|301
3:59 PM - 17 Nov 2015|When everybody leaves house finally pic twitter com XSdzjIiNTS|137|141
10:31 AM - 17 Nov 2015|At least 100 000 Texas women performed abortions http bit ly 1l3ioGQ|58|35
3:58 PM - 16 Nov 2015|whose pussy well mine course whose uhhhhhhhhhhhhhhhhhhhh united states|4|32
10:39 AM - 14 Nov 2015|yeah love BDSM Being Dick Social Media|195|375
5:30 PM - 15 Nov 2015|baby 2 see i'm ready 4 dog houseplant|30|127
7:45 AM - 15 Nov 2015|last night white lady wearing Hillary shirt asked women 'allowed vote' ' part world ' pic twitter com KYbIU3Sjbv|764|943
6:30 AM - 15 Nov 2015|Former Black Panther Elaine Brown starts urban farm ex-cons http bit ly 1QoWQSj #urbanfarming pic twitter com 1eW2NPmYm9|346|334
7:40 PM - 14 Nov 2015|important FB notice racist friends drawing false parallels protesters antiblack violence terrorists attacks|4|10
10:23 AM - 14 Nov 2015|snapchat facebook filters massacres occur brown people daily world|13|19
