2:34 PM - 1 Dec 2015|Oops This script leaked pic twitter com k4Vn9r7WxV|3.2K|4.4K
6:45 PM - 22 Nov 2015|Enid Ron Spencer Rick right Alexandrians kinda suck #TheWalkingDead|41|101
6:45 PM - 15 Nov 2015|Seriously Abraham #TheWalkingDead pic twitter com kMhw16fm9w|145|307
