7:14 PM - 10 Dec 2015|We see @SetonHallMBB https twitter com SetonHallMBB status 675144984241250304|441|594
4:07 PM - 9 Dec 2015|Bro crossed dog lmao pic twitter com zOqrI9K8cb|3.4K|3.9K
11:57 AM - 9 Dec 2015|USMNT's Julian Green gets start Champions League Bayern Munich today pic twitter com CKvXRivsqm|1.9K|4.5K
11:58 AM - 9 Dec 2015|Koch Brothers Get Each Other Same Election For Christmas http onion com 1IVud7J pic twitter com pMccD8ReiW|1K|1.3K
1:57 PM - 2 Dec 2015|Can't Retweet This Enough #SanBernadino #p2 pic twitter com gApejAYLlh|6.5K|5.5K
11:00 AM - 4 Dec 2015|Trevor Ted Cruz might uniter America needs right http cc com 1lfzZfr pic twitter com 0TcxhMlpXm|311|771
2:05 PM - 25 Nov 2015|The appropriate reaction Trump point https youtu d70OuefjY70 #LNSM pic twitter com R1utofdbM4|32|62
9:40 AM - 19 Nov 2015|Ted Cruz seems selective memory political refugees https youtu VmpZcvvyML8 #LNSM https amp twimg com v 027d3568-d3dc-4697-8ce6-b24e2aeb8d52|36|50
