10:26 PM - 10 Dec 2015|LETS MAKE THIS HAPPEN pic twitter com wpJd5Ditym|44K|6.8K
1:35 PM - 2 Dec 2015|I'm glad I gave Klopp right tools job It's like building 100 floors sky scraper letting finish roof|3.5K|3.8K
11:35 AM - 24 Nov 2015|EXT - The Berlin Wall Reagan steps podium The jubilant crowd quiets A momentary swell mic feedback RR Kristsaps Porzingis|48|151
7:29 AM - 16 Nov 2015|Obama mocking reporters trying get real answers Obama show disinterested foreign policy|85|56
