6:26 AM - 3 Dec 2015|Where want 10 years pic twitter com pRG67XWLHy|1.3K|1.6K
9:24 AM - 10 Dec 2015|Death penalty sought man police say murdered Ky child http whas11 com 1Y5CgFN #WHAS11|5|4
7:36 AM - 1 Dec 2015|IT'S A GREAT DAY TODAY BC 25 DAYS OF CHRISTMAS STARTS ON ABC FAMILY RT TO SAVE A LIFE pic twitter com DZ8meGNmun|7.6K|7.5K
9:45 AM - 29 Nov 2015|If doesn't make ur day idk pic twitter com tNiQcubjoq|6K|5.9K
7:44 AM - 19 Nov 2015|When put something cart ur shopping ur mom u hope doesn't notice pic twitter com Cox0AEXFy1|5.4K|9.1K
