2:37 PM - 10 Dec 2015|Pluto ready close-up July flyby pics color http go nasa gov 1RHgQ2b pic twitter com rSF6F2RVW8|1.3K|2K
12:27 AM - 10 Dec 2015|New breed super spiral galaxies amaze astronomers raise questions born http bit ly 1NfRNOb pic twitter com claAyVPSva|76|95
6:37 PM - 8 Dec 2015|I longer tweet Trump That anyone America would even CONSIDER voting rabid coyote leaves speechless|18K|25K
3:33 PM - 6 Dec 2015|#Cygnus set arrive @Space_Station Wed Dec 9 Crew use #Canadarm2 capture #Cygnus 6 10am ET pic twitter com prexqkskxV|764|1.2K
1:10 PM - 5 Dec 2015|After months practice I finally touch toes By telling beautiful|716|2.4K
6:53 AM - 5 Dec 2015|This statue Berlin called Politicians discussing Global Warming - pic twitter com WZ6e2cmnLz|1.2K|1.6K
1:47 PM - 4 Dec 2015|1hr #Cygnus takes aboard @ulalaunch rocket @NASAKennedy en route @Space_Station Flight plan pic twitter com w3BMG5dQv3|259|502
9:21 AM - 4 Dec 2015|For many Bob Ross superfans joy painting lives http nyti ms 1PAkhIi https amp twimg com v 90138456-bded-4ceb-915d-005380229885|180|317
3:30 PM - 4 Dec 2015|Friday Fact A tiger eat 80 pounds meat one sitting #BigCatWeek|212|344
6:49 AM - 4 Dec 2015|Faced another bloody massacre Senate Republicans killed measure keep guns away suspected terrorists http nyti ms 1Qk4PyE|541|425
5:27 AM - 4 Dec 2015|Who's 2015 scientist year Why R D Magazine says it's Scott @StationCDRKelly http bit ly 1TpeL9k pic twitter com RMqNjTUl7T|4|7
11:06 AM - 3 Dec 2015|Italy Etna unleashes short spectacular eruption http wrd cm 1Rq5lMf pic twitter com ZV7myrPUuN|372|378
9:07 AM - 3 Dec 2015|1915 Einstein predicts ripples spacetime 2015 #LISAPathfinder tests tech sense http go nasa gov 1Irzd97 pic twitter com NKBiBj684u|270|281
6:49 AM - 3 Dec 2015|Earth lost third arable land past 40 years scientists say http www theguardian com environment 2015 dec 02 arable-land-soil-food-security-shortage|2|1
2:22 PM - 2 Dec 2015|Your guns killing|199|401
10:50 AM - 1 Dec 2015|You mess bull get horn @rickygervais pic twitter com tunn0W49Ft|439|943
9:15 AM - 1 Dec 2015|Today 12 1 3pm @othermusic Happy Birthday Jaco Pastorius @RobertTrujillo #Jaco pic twitter com MrE6MtTJ5e|14|32
