4:24 PM - 29 Nov 2015|ur dedicated detective investigates vicious felonies ur crush walks pic twitter com OBjvIO0UAb|17K|19K
7:16 PM - 29 Nov 2015|@AngieKat1849 Excuse r u part Emoji Swat team Im Not aware OfPrey tell What The Legal amount Emoji 2 Txt Ratio BITCH|4K|4.6K
6:18 PM - 29 Nov 2015|@cher What's wrong emojis One two fine But ridiculous|617|402
9:27 PM - 3 Dec 2015|Can imagine mad Waka Flocka Flame racist enough pic twitter com oTdyqgZdio|14|42
10:00 PM - 3 Dec 2015|u ask movie wants watch starts pulling Paul Blart Mall Cop pic twitter com mB82eLeXUq|127|349
6:47 PM - 1 Dec 2015|trump im gonna make country great person trump go fuck thats fox finally someone afraid speak mind|8.6K|12K
10:50 PM - 3 Dec 2015|When remember 7th grade pic twitter com hElzDjx9gn|44|228
8:36 AM - 2 Dec 2015|Girl engineering school I'm like single-most clumsy person 5 male engineering students emerge bushes Did say single|109|302
12:51 PM - 1 Dec 2015|My child wrote letter Santa pic twitter com K8BKLWc3r3|476|1.6K
8:40 PM - 3 Dec 2015|WHAT HAVE I DONE TO DESERVE THIS|3|16
4:44 PM - 3 Dec 2015|Imagine you're eating fabulous meal Cheesecake Factory starts raining testicles|13|112
5:08 AM - 3 Dec 2015|As presidential candidate I instructed long-time doctor issue within two weeks full medical report-it show perfection|3.2K|6K
10:09 AM - 3 Dec 2015|YOUR LIFE IS A REMAKE OF MEMENTO WHERE YOU WAKE UP EACH DAY WITH AMNESIA ABOUT THE HUMAN CONDITION AND THE DAY REMINDS YOU MOMENTARILY|18|72
8:18 AM - 3 Dec 2015|one night year cove plaza swear words legal coming theaters 2016 THE PURGE CLUB PENGUIN|660|1.6K
11:44 PM - 2 Dec 2015|Imagine watching movie life loved ones It's amazing Then right credits hit Linkin Park starts playing|51|172
12:39 PM - 2 Dec 2015|Praying victims families San Bernardino first responders wake tragic shooting|540|611
