3:19 PM - 8 Dec 2015|Is late drop classes|9|23
3:16 PM - 1 Dec 2015|besfrenz birthday today happy birthday tyler bday I extended least 1 year friendship pic twitter com gRkISIpYTY|29K|47K
4:25 PM - 25 Nov 2015|The Run And Go - Twenty One Pilots pic twitter com n9E2RvUJ2P|1.3K|1.2K
12:05 PM - 26 Nov 2015|Calling Thanksgiving Friendsgiving|527|1.5K
