12:25 PM - 11 Dec 2015|@reverendanthony giving us truth morning #GX3 pic twitter com ttbV5fPHN1|310|438
4:56 PM - 11 Dec 2015|Saudi women vote first time http bbc 1NTMaVn|453|471
5:19 PM - 3 Dec 2015|Here every senator voted expanding background checks following year's 355th mass shooting pic twitter com Hd5ipbR5HN|14K|7.5K
2:11 PM - 17 Nov 2015|5 Not single refugee resettled US committed act terrorism 1 5 million Middle East since 2001 http thehill com blogs congress-blog foreign-policy 258440-we-risk-more-in-not-accepting-syrian-refugees-into-the-us|1.2K|800
12:20 PM - 17 Nov 2015|Chicago Magazine named Chicagoan The Year wrote great story what's going around city http www chicagomag com Chicago-Magazine December-2015 Chicagoans-of-the-Year-2015-Chance-the-Rapper|1.3K|2.2K
