5:23 PM - 8 Dec 2015|Castro rep durable good guy Will bring batting average best time plate patience #Yankees #Cubs|50|84
7:30 AM - 7 Dec 2015|Yankees acquire diet pepsi winter meetings vending machine Wanted coke settle|69|80
8:54 AM - 5 Dec 2015|We're listing Cocktails That Taste Like Holidays @TheListApp today https li st l 2rmypbNnXrgdWHS6reYyzF pic twitter com BDZfdwDbYk|27|38
11:14 AM - 26 Nov 2015|Der reason I nevah heard dis guy DIS IS ATROCIOUS|22|32
5:36 PM - 17 Nov 2015|Hartford Yard Goats unveil new jerseys http wp p5JmMF-kr8|8|9
1:58 PM - 15 Nov 2015|TIME TO STOP LOOKING AT TWITTER ON YOUR PHONE IN THE LIVING ROOM AND TIME TO START LOOKING AT TWITTER ON YOUR PHONE IN BED|1.1K|1.7K
