11:06 AM - 22 Nov 2015|I would gladly trade people want keep Syrian refugees Syrian refugees|1.6K|3.7K
1:28 PM - 18 Nov 2015|Excuse Master Luke disguising stormtrooper 'cultural appropriation ' -- C3-SJW|502|975
1:43 PM - 18 Nov 2015|Bloop bop rape culture myth used oppress men bleep blirp -- MRA2-D2|193|549
10:12 PM - 14 Nov 2015|Of people appeared Entourage movie she's arguably least deserving kick head https twitter com SInow status 665771892951924736|12|24
