9:37 AM - 1 Dec 2015|Inside high-stakes race rid world human drivers http trib al 6sjJhq7 pic twitter com ACbC6s4BGi|14|5
3:00 PM - 29 Nov 2015|Less 0 001 Canadians enjoying Earl Grey's #GreyCup cup Earl Grey tea|46|71
9:41 PM - 27 Nov 2015|Attention Edmonton Eskimos Inuit mascots via @globeandmail http www theglobeandmail com globe-debate attention-edmonton-eskimos-inuit-are-not-mascots article27512855 utm_source twitter com utm_medium Referrer Social Network Media utm_campaign Shared Web Article Links|1|0
9:32 AM - 16 Nov 2015|We forgive forget Anonymous hackers declare war Islamic State http thestar com 1QHcGqn pic twitter com zMCDEG0Pfe|98|87
6:21 AM - 16 Nov 2015|National radio broadcasting Paris pic twitter com AHZVQI2srK|9|21
5:43 AM - 14 Nov 2015|Cartoonist Creates Beautiful Cartoon Asking People Not To Pray For Paris http www buzzfeed com ryanhatesthis a-cartoonist-created-a-beautiful-cartoon-asking-people-not-t bftwnews utm_term 4ldqpgc#4ldqpgc #ParisIsAboutLife pic twitter com Y4X3BfnKP3|1.2K|1.5K
