4:01 AM - 8 Dec 2015|Over 1 100 000 people killed guns USA since @JohnLennon shot killed Dec 8 1980 #StopGunViolence pic twitter com BUbGXqHbGN|11K|6.7K
10:14 AM - 6 Dec 2015|I'll believe Jimmy Carter's brain cancer gone I hear someone doesn't brain cancer|386|1.4K
11:48 AM - 27 Nov 2015|Privilege white men source domestic terrorism US never get kicked public spaces b c fear|421|362
8:02 PM - 27 Nov 2015|A cop dies GOPers say nothing died protecting Planned Parenthood Hypocrites Cowards|596|749
8:34 PM - 27 Nov 2015|Wow almost like one side made terrorists terrorist-enablers pregnant people want|2|21
8:33 PM - 27 Nov 2015|Where pro-choicers shooting pregnancy centers NOT performing abortions I ll wait|4|17
