7:02 PM - 9 Dec 2015|A literary critic reading lost book Plato subject unrequited love|46|80
4:54 PM - 4 Dec 2015|Fri To-do list Sat It's fine I wrote list Sun Critique academia ill-defined intellectualized busywork Netflix Let's hug|131|274
5:58 AM - 16 Nov 2015|2 2 The frequent attempt conceal mental pain increases burden easier say My tooth aching My heart broken|1.2K|2K
