4:03 PM - 2 Dec 2015|tune America West Side Story stares dead-eyed middle distance|22|37
8:35 PM - 30 Nov 2015|Frowning White Mom I LOVE expensive religious collectibles I HATE perspective geometry Voiceover breathless MEDIEVAL ART|84|252
9:06 AM - 27 Nov 2015|Black friday called good friday good deals opinion|170|303
5:32 AM - 26 Nov 2015|She said hey I'm hotline bling I said I'm Drake I love sing|4|9
8:21 AM - 23 Nov 2015|BDSM scenario know real life find twitter|26|107
6:38 AM - 19 Nov 2015|ive never laughged piss joke sees impressed everyone takes one step fact ive never laughed life|2.3K|4.7K
7:13 AM - 18 Nov 2015|I want retool Twitter syndication grandpa's breakfast-time Facebook updates pic twitter com wXu0TIRX0z|81|341
10:01 AM - 17 Nov 2015|I glimpsed endless abyss suitable work AND play|23|171
4:20 PM - 15 Nov 2015|Cormac McCarthy talks like Achewood comic strip https twitter com PaulMMCooper status 665846565806972929|39|49
