8:16 AM - 10 Dec 2015|#StayMadAbby white girls considered lawsuit trying harder wasn't thing|1.1K|1.6K
2:19 PM - 10 Dec 2015|performance art pic twitter com x5gR9NgmXA|102|345
9:44 PM - 9 Dec 2015|Thank @Hoobastank 100 years hard rocking action|5|11
11:09 PM - 15 Nov 2015|Money can't buy happiness pic twitter com T4IyAmSPAI|8.2K|11K
1:14 PM - 8 Dec 2015|What fun ride sing Slayer song tonight|2|12
12:36 PM - 3 Dec 2015|I ONCE HAD AN OUTDOOR CAT I HATED NOT KNOWING WHERE HE WENT ALL THE TIME SO ONE DAY I FOLLOWED HIM HE SLEPT BY SOME TRASH FOR SIX HOURS|312|570
8:38 AM - 4 Dec 2015|I DON'T UNDERSTAND HOW EVERYONE IS ALWAYS WATCHING SO MUCH ON NETFLIX THEY ONLY MAIL ME THREE DVDS AT A TIME|340|478
8:40 AM - 4 Dec 2015|IT IS AN UNFORGIVABLE FAILURE OF THE WRITERS OF SEINFELD TO IGNORE THE OBVIOUS REAL WORLD TENSION THERE WOULD BE BETWEEN JERRY AND ELAINE|135|197
8:42 AM - 4 Dec 2015|JERRY AND ELAINE WE USED TO DATE BUT THAT SOMEHOW HAS NEXT TO NO BEARING ON OUR DAILY INTERACTIONS I DON'T BUY IT WE DESERVE BETTER|97|167
7:05 AM - 5 Dec 2015|HILLARY IS THE ONLY PRESIDENTIAL CANDIDATE WHO HAS ON READ RECEIPTS SO I CAN TELL WHEN SHE IGNORES MY TEXT MESSAGE YES IT UPSETS ME GREATLY|199|352
7:12 AM - 5 Dec 2015|AMERICA SHOULD GET MORE CREATIVE WITH THE DUMPLING YOU CAN PUT ANYTHING IN THERE|157|249
10:06 AM - 5 Dec 2015|I WOULD BUY COOKIES THAT HAD EXTRA GLUTEN|145|192
10:10 AM - 6 Dec 2015|A TRAIN IS A BUS WITHOUT FREEDOM|768|848
6:48 AM - 8 Dec 2015|AT A YOUNG AGE I REALIZED THAT CRAYONS DO NOT TASTE LIKE THEIR COLORS AND THAT MUCH OF LIFE IS DECEPTIVE AND DISAPPOINTING IN THIS WAY|1.3K|1.5K
11:44 AM - 8 Dec 2015|When you're getting ready #TrumpIsDisqualifiedParty find he's LITERALLY disqualified pic twitter com yieQZkppZ5|1.7K|1.7K
9:29 AM - 8 Dec 2015|Terrorist attacks committed self-identified white Christians never resulted politicians calling ban Christians|2K|1.9K
2:56 PM - 3 Dec 2015|'holiday season' aka friend's apartment become panopticon whose watchman happens elf shelf pic twitter com z6kVDptghp|42|58
6:54 PM - 6 Dec 2015|The signs Solange's style Pisces pic twitter com R6eFxaP3U7|91|98
10:21 AM - 5 Dec 2015|The look regret Jeb Bush's face threatens whup Hillary Clinton genuinely painful watch https vine co v iWPBPK2UpgX|2.3K|2.5K
6:12 AM - 7 Dec 2015|AT STARBUCKS THEY ASKED WHAT KIND OF MILK I TAKE WITH MY LATTE AS IF THEY COULD EVEN FATHOM|224|373
6:50 AM - 6 Dec 2015|I DON'T TRUST CROISSANTS OR ANY OTHER FLAKEY PASTRY WHO KNOWS WHAT SECRETS HIDE BETWEEN THE LAYERS|175|218
3:08 PM - 4 Dec 2015|White Tears White Feminist Tears Male Tears Candles https www etsy com shop zunnur Via @zeynaiman pic twitter com RTdDcI1y9W|197|324
4:00 PM - 3 Dec 2015|Pretty rude headline Expected Bloomberg https twitter com business status 672545932836257792|697|2.6K
8:33 PM - 3 Dec 2015|My cat sits like person pic twitter com HSq71mZjY5|36K|43K
4:30 PM - 1 Dec 2015|Just reminder #MusicBizJournalists making end year lists I released #1 Basketball Themed Folk Album year|7|18
5:51 AM - 29 Nov 2015|fucked like 1000 christmas songs 1 song aboutr boys back town|27K|42K
1:45 PM - 2 Dec 2015|Conservatives going tell early talk gun control They'll also say next week next shooting|20|15
2:01 PM - 30 Nov 2015|h8 ppl dress like get u drink maple syrup pic twitter com h5j9uChCqu|74|156
3:02 PM - 30 Nov 2015|lawyer takes twitter account pic twitter com OfFtq9PUfg|533|803
12:43 PM - 30 Nov 2015|This like 7-month Cialis commercial https twitter com ZekeJMiller status 671429116680396800|42|98
12:47 PM - 30 Nov 2015|reason wife doesn't fuck anymore likelihood|33|196
10:06 AM - 30 Nov 2015|Paris Hilton landed Winter 2015 cover Paper Magazine omg pic twitter com Dan3seaZqA|3K|4.4K
12:05 PM - 27 Nov 2015|Hey Republicans terrorists already live you're ones stoking violence #plannedparenthoodshooting|809|971
11:03 AM - 26 Nov 2015|wn throat When I sit back heels look gravy mouth slobber running neck hair fucked|18|31
11:01 AM - 26 Nov 2015|Turkey one favorite tastes Not stuffing smells amazing It makes go little crazy honest Like I c|22|57
3:11 PM - 22 Nov 2015|Are Teens Getting High On Asparagus Water|53|93
5:57 PM - 22 Nov 2015|offense white men don't feel comfortable seeing college campuses elementary schools movie theaters places worship|32|92
11:28 PM - 21 Nov 2015|I don't usually repost things like I want safe RT 10 seconds he'll visit tonight pic twitter com 6JVWliX0Yi|76|61
11:29 PM - 21 Nov 2015|love discovering new music someone omg listen thi-|161|315
5:08 PM - 21 Nov 2015|yeah maybe titanic decomposes slowly bottom ocean sea creatures nibble flesh https twitter com laurentsangel status 668196771714211846|29K|30K
9:02 PM - 18 Nov 2015|Good news everything you're currently worried farce|296|599
10:20 AM - 20 Nov 2015|people rat hands going fucking sick|1.3K|2.8K
12:28 AM - 18 Nov 2015|Play Dom K funeral|16|9
1:05 PM - 17 Nov 2015|Thursday Blackbird Raum w Dirty Kid Discount Sledding With Tigers Bogsey|2|3
