8:35 PM - 7 Dec 2015|Jon Stewart wants tell @SenateMajLdr pass 9 11 Zadroga Act Now #worstresponders #shameworks pic twitter com tqIlzOLUYM|13K|8.8K
7:36 AM - 2 Dec 2015|Houston mayoral candidate @SylvesterTurner greets supporters early voting Acres Holmes Multi-Service Ctr pic twitter com mmdTm9AQH0|5|1
3:15 AM - 1 Dec 2015|These funniest #PopeBars rap lyrics Pope Francis http ti 1NZX3oT pic twitter com gO97rvx2lV|113|135
12:59 PM - 22 Nov 2015|Donald Trump's Hatemongering Moves African-Americans http mojo ly 1I8JIZx|107|38
1:15 PM - 18 Nov 2015|The one country you'd expect reject Syrian refugees wants take 30 000 instead http mojo ly 1SEyj9w pic twitter com 6QvjNAs9ks|109|82
9:46 AM - 17 Nov 2015|The first female President Ireland shares climate change important politics http ted com SKa0ha1|195|264
8:44 AM - 17 Nov 2015|All Houstonians deserve safe streets stronger schools decent roads Let's work together move city forward pic twitter com X4ZQo6wvV4|42|39
1:00 PM - 16 Nov 2015|Greg Abbott wrote letter saying isn't going let Syrians Texas letters magic http www houstonpress com news abbott-of-course-vows-not-to-let-syrians-into-texas-7931896|8|9
10:30 AM - 16 Nov 2015|Fox News Protests Against Racial Discrimination Are Anarchy But Armed Protests Against Federal Law Are Patriotic http mediamatters org blog 2015 11 12 fox-news-where-protests-against-racial-discrimi 206819|13|12
6:00 AM - 15 Nov 2015|Drug Test Proves High School Girl Wasn't High School Suspends Her Anyway http www houstonpress com news drug-test-proves-high-school-girl-wasnt-high-school-suspends-her-anyway-7926436 pic twitter com VjGT7Ze1wh|3|2
