3:07 AM - 18 Nov 2015|Caroline Prenat 24 France Graphic designer Artist Friend #enm moire pic twitter com aYCoocFf0X|1.7K|2.3K
7:35 AM - 14 Nov 2015|Parisians defiant attacks 'They spill blood give blood' http mash 1WYuHQU pic twitter com 6b1NXgqv2A|295|305
1:24 AM - 14 Nov 2015|The world turns Blue White Red support Paris France #PrayForParis pic twitter com 2Cfr7diZYr|4.3K|4.8K
4:26 AM - 14 Nov 2015|Scene outside #Bataclan #ParisAttacks Man pulled piano attached bike played Imagine left pic twitter com p3ivcewHEK|3.6K|2.7K
