4:31 AM - 11 Dec 2015|upgrade I care right pic twitter com 0lrj1wWjGA|9.8K|11K
2:48 PM - 10 Dec 2015|choose new president|739|267
2:25 PM - 9 Dec 2015|You're worse @realdonaldtrump|66|54
12:09 PM - 10 Dec 2015|@HiYesPlsExplain New #N3RV Remix #BMTH #Dubstep If like share would amazing https youtu GX3w3cowFN8 list PL67X9YcLFdUptbcJNc15N_ps-HYa4v1wt|1|0
2:36 PM - 10 Dec 2015|@HiYesPlsExplain Hi Hi Yes Pls Explain Did already see new music video https www youtube com watch v PB4oG6EfcRQ Tell think|1|0
