2:46 PM - 9 Dec 2015|PLEASE HELP YA GIRL OUT pic twitter com 1ipodtZYf9|140K|22K
1:50 PM - 9 Dec 2015|Th Chicago City Council Black Caucus 7-Point Plan Action re Chicago Police Dept interesting pic twitter com OE6lsqyNi4|281|263
4:47 PM - 8 Dec 2015|@realDonaldTrump ban propose ensure don't another Dylann Roof Timothy McVeigh Ted Kaczynski|1.7K|2K
7:12 PM - 29 Nov 2015|human brain organ works 24 hours day 365 days year birth right moment catch feelings|596|1.1K
10:48 AM - 6 Dec 2015|And wasn't shut posting pictures Trayvon's body https twitter com EzKool status 673574639159914497|74|62
3:47 PM - 4 Dec 2015|Bernie Sanders took strongest stance Laquan McDonald yet hinting Rahm Emanuel resign http bit ly 1NxpYjM|39|41
10:00 AM - 17 Nov 2015|star material https twitter com noz status 662077185784549376|222|782
