6:33 PM - 10 Dec 2015|Gotta give black women social media credit spreading word case mainstream media never really|1.6K|1.3K
1:56 PM - 9 Dec 2015|Eve Sedgwick's husband Hal still maintains late wife's separate apartment works keep legacy alive http www newyorker com books page-turner between-us-a-queer-theorists-devoted-husband-and-enduring-legacy|8|8
12:26 PM - 10 Dec 2015|one resolutions stop saying yes anything don't actually want starting early|192|194
1:52 PM - 7 Dec 2015|sex like eating day-old french meringue peak fallen dramatically i'm leaking liquid everywhere|2|17
12:17 PM - 6 Dec 2015|When judge risk defeat even try - @tatianamaslany http bit ly 1SAWG89 pic twitter com st5Fx76sQL|460|858
10:01 AM - 7 Dec 2015|Gift Guide 2015 LGBT titles round holiday-shopping lists featuring NOT GAY http bit ly 1lJl4cV|2|1
7:31 AM - 7 Dec 2015|We @kcrw Morning Becomes Eclectic played bunch new songs You watch http www kcrw com music shows morning-becomes-eclectic st-lucia|12|22
6:06 PM - 4 Dec 2015|Yes I third gin tonic add lemongrass fuck week I'm done baby|1|17
4:00 PM - 4 Dec 2015|Why @CarlyRaeJepsen's E MO TION 2015's best cinematically-evocative pop album http bit ly 1IlfC3r pic twitter com xlG2GgAYMU|24|28
1:03 PM - 4 Dec 2015|Antony beyond brilliant Everything article resonant Read read read http flavorwire com 489997 we-will-all-howl-antony-hegarty-on-the-state-of-transfeminism 4|84|274
11:54 AM - 4 Dec 2015|Did hear We re hosting first writing contest http hellomrmag com short-long|1|5
7:59 AM - 4 Dec 2015|Introducing new album #Matter available 1 29 16 Pre-order @AppleMusic http smarturl Matter pic twitter com NgSlJRrkvt|96|197
6:18 PM - 2 Dec 2015|annoying sexuality brought every time make appearance|142|149
6:02 PM - 2 Dec 2015|I don't see necessary time Jason Derulo|265|221
