2:42 PM - 7 Dec 2015|Yo #Kimye we're really happy we'll let finish South one best names time|3.4K|3.9K
3:00 PM - 4 Dec 2015|When someone asks I started studying finals http vine co v eDe3Lg5LhlF|1.6K|1.2K
5:06 AM - 2 Dec 2015|Me Wow I 3 tests 2 essays due next 3 days Me Ayyy I haven't watched THE ENTIRE HARRY POTTER FILM SERIES|4.3K|7K
11:05 PM - 30 Nov 2015|sometimes wish burrito|3.5K|5K
8:10 PM - 24 Nov 2015|accuracy tweet 100 chat moving 80mph pic twitter com RD37A4m6yX|97|132
3:18 PM - 21 Nov 2015|The John Mulaney The Comeback Kid stand-up special Netflix incredibly good http www netflix com title 80058424 pic twitter com dsU8WWbe9g|73|295
