7:53 PM - 3 Dec 2015|Please welcome Konami pic twitter com gzHmmkJ0Vv|870|992
11:29 PM - 29 Nov 2015|Ever since Rise Gaurdians I can't deal faces Dreamworks uses I don't like pic twitter com y7JdrZFWan|192|536
3:54 PM - 26 Nov 2015|Everybody sucked point|31|49
12:32 PM - 17 Nov 2015|A lot people today You awesome deserve happy If people bein jerks SUCK IT|3.3K|5.7K
